ProjectNumber,ProjectName,Address,Apt,City,ClientName,ClientContact,ClientToBill,Architect,ArchitectContact,ProjectManager,FieldInspector,RoofingInspector,PlanReviewFee,SiteMeetingsFee,SiteMeetingsComments,MaintenanceManualsFee,EnvelopInspectionsFee,EnvelopInspectionsComments,SlabInspectionsFee,WindowTestsFee,RoofInspectionsFee,AnnualInspectionsFee,AnnualInspectionsComments,PlanReviewFee,SiteMeetingsFee,SiteMeetingsComment,MaintenanceManualsFee,EnvelopeInspectionsFee,EnvelopeInspectionsComment,SlabInspectionsFee,WindowTestsFee,RoofInspectionsFee,AnnualInspectionsFee,AnnualInspectionsComment,FollowUpInspectionFee,5YearInspectionFee,Year1-3-4InsFee,Year2-5InsFee,PerInspectionFee,MiscellaneousFee,MiscellaneousComment,Completed,CompletedDate,RCABC
17123,Easthill Reroof #3,201-211 Cardiff Way,,Port Moody BC,,,,,,,,Dwayne Arnold,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
17129,Apartment Building- Lot B,722 Valley Road,,Kelowna BC,Traine Construction Ltd.,,Traine Construction Ltd.,Stantec,Joe Tkalcic,,Marc Genereux,Arden Knoll,3600,0,,0,16000,,0,1800,3600,8900,,3600,0,,0,16000,,0,1800,3600,8900,,0,0,0,0,400,450,Roofing,FALSE,0,FALSE
17130,Gill Residence - No.2 Road,11300 No. 2 Road,,Richmond BC,Zenterra Latimer Ltd.,Manpreet Gill,Zenterra Latimer Ltd.,Ankenman Associates Architects Inc.,Emily Kearns,,Don Hauser,Todd McDonald,1500,0,,0,4200,,0,900,1500,8900,,1500,0,,0,4200,,0,900,1500,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
17132,Highline (Market Tower - THIND),6505 Sussex Avenue,,Burnaby BC,Thind Properties Ltd.,Dave Westley,Thind Properties Ltd.,Chris Dikeakos Architects,Richard Bernstein,,Mike Mountain,Todd McDonald,5500,0,,0,20000,,0,2700,7200,8900,,5500,0,,0,20000,,0,2700,7200,8900,,0,0,0,0,400,0,,FALSE,0,FALSE
17133,Metlakatla Seniors Housing,700 Green Street,,Prince Rupert BC,Sea to Sky Services,Adrian Ionescu,Sea to Sky Services,Mobius Architecture Inc.,Peter Treuheit,,Aaron MacLellan,,4600,0,,0,14400,,0,1800,4800,8900,,4600,0,,0,14400,,0,1800,4800,8900,,0,0,0,0,1200,0,,FALSE,0,FALSE
17139,Salisbury Lane,2138 Ave,,Port Coquitlam BC,,,,,,,,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
17141,Vibo,4270 Hastings Street,,Burnaby BC,Mauro & Mauro Inc,Reno Mauro,Mauro & Mauro Inc,Leith Anderson Architecture,Leith Anderson,,Scott Stebbings,Todd McDonald,2400,0,,1500,5400,,0,900,2400,8900,,2400,0,,1500,5400,,0,900,2400,8900,,0,0,2000,2000,300,0,"Trade Off $1,800",FALSE,0,FALSE
17142,"Oak, The",7858 Oak Street,,Vancouver BC,Triton Ventures Corp,Jason Kapadia,Triton Ventures Corp,RLA Architects Inc.,Jeff Clarke,,Dane Peterson,Todd McDonald,2800,0,,0,9000,,0,900,2400,8900,,2800,0,,0,9000,,0,900,2400,8900,,0,0,1800,7500,300,0,"Trade Off $1,800 ECB $7,500",FALSE,0,FALSE
17143,Residence Energy Audit - Payment in advance required,1327 Chartwell Drive,,West Vancouver BC,JJH Development Ltd.,Daren Huang,JJH Development Ltd.,,,,,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
17150,821 McGill Road,821 McGill Road,,Kamloops BC,Cross Developments,Shannon Hughes,Cross Developments,DLP Architecture Inc.,Lucio Picciano,,Brian MacLellan,Arden Knoll,1800,0,,0,31500,,0,1800,0,8900,,1800,0,,0,31500,,0,1800,0,8900,,0,0,2400,2400,750,0,"Trade Off $1,800/Building",FALSE,0,FALSE
17154,Abbott Park Luxury Residences,448-458 Groves Avenue,,Kelowna BC,Vineyard Developments,,Vineyard Developments,Zeidler BKDI Architects,Tyler Loewenhardt,,Brian MacLellan,Arden Knoll,3600,0,,0,10000,,0,900,3600,8900,,3600,0,,0,10000,,0,900,3600,8900,,0,0,0,0,400,0,"Trade Off $1,800 ECB $10,000",FALSE,0,FALSE
17155,Houss,63 West 6th Avenue,,Vancouver BC,Conwest,Lucas Berube,Conwest,Yamamoto Architecture Inc.,Taizo Yamamoto,,Dane Peterson,Todd McDonald,1800,0,,0,3600,,0,900,1500,8900,,1800,0,,0,3600,,0,900,1500,8900,,0,0,0,0,300,0,"Trade Off: $1,500.  ECB: $7,500",FALSE,0,FALSE
17158,Ella Tower,1580-1588 Ellis Street,,Kelowna BC,Mission Group Properties Ltd.,Dan Greene,Mission Group Properties Ltd.,IBI Group Architects (Canada) Ltd.,Lauren Macaulay,,Marc Genereux,Arden Knoll,7500,0,,0,18000,,0,2700,5000,8900,,7500,0,,0,18000,,0,2700,5000,8900,,0,0,0,0,450,0,"Trade Off $2,500 ECB $10,000",FALSE,0,FALSE
17159,Cottonwood Manor - Design only,2261 Copeland Avenue,,Houston BC,Horizon North Logistics Inc.,Karen Trottier,Horizon North Logistics Inc.,Blue Green Architecture,Kevin Ryan,,,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
17161,Gellatly View Condominium,,,Kelowna BC,Highstreet,Alice Arsenault,Highstreet,WD Fisher Architect,,,Marc Genereux,,3000,0,,0,12000,,0,900,2700,8900,,3000,0,,0,12000,,0,900,2700,8900,,0,0,0,0,400,0,"Trade Off $1,800 ECB $2,500",FALSE,0,FALSE
17162,"Crossing-Deck review February 2017, The",8115 121A Street,,Surrey BC,,,,,,,,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
17164,Customs House,816 Government Street,,Victoria BC,Victoria Customs House Limited Partnership,Stan Sipos,Victoria Customs House Limited Partnership,Studio One Architecture Inc.,Jim Wong,,Don Hauser,Dwayne Arnold,5400,0,,0,21600,,0,1800,4500,8900,,5400,0,,0,21600,,0,1800,4500,8900,,0,0,0,0,450,0,LEED:,FALSE,0,FALSE
17167,"Victoria, The",7171 Victoria Drive,,Vancouver BC,Prospero International Realty Inc.,Derek Lee,Prospero International Realty Inc.,GBL Architects Inc.,Charlotte Mackintosh,,Scott Stebbings,Todd McDonald,3000,0,,1500,10500,,0,900,2400,8900,,3000,0,,1500,10500,,0,900,2400,8900,,0,0,2000,2000,300,0,"Trade Off:  $2,400,  ECB: $10,000",FALSE,0,FALSE
17168,Lizzy Bay,37830 3rd Avenue,,Squamish BC,Arlington Group,Graham Farstad,Arlington Group,WG Architecture Inc.,Wojciech Grzybowicz,,Mike Mountain,Todd McDonald,3000,0,,0,15750,,0,1800,3600,8900,,3000,0,,0,15750,,0,1800,3600,8900,,0,0,0,0,450,0,"Trade Off $2,400 ECB $7,500",FALSE,0,FALSE
17169,Copper Ridge Conference Center,1197-1371 Quarry Lane,,Brittania Beach BC,The Institute for Research Communication & Development,"Fadi Sarraf, MBA",The Institute for Research Communication & Development,Interface Architecture Inc.,John Lo,,Mike Mountain,Todd McDonald,2800,0,,0,10800,,0,900,2700,8900,,2800,0,,0,10800,,0,900,2700,8900,,0,0,0,0,450,1800,Trade Off,FALSE,0,FALSE
17170,Highline -  Non Market Tower (THIND),6525-6585 Sussex Avenue,6551,Burnaby BC,Thind Properties Ltd.,Dave Westley,Thind Properties Ltd.,CDA Architects (Chris Dikeakos),Karen Wiens-Suziki,,Mike Mountain,Todd McDonald,2000,0,,0,10000,,0,1800,2800,8900,,2000,0,,0,10000,,0,1800,2800,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
17176,Green Square,3630 Mission Springs Drive,,Kelowna BC,Corwest Builders,Mike Woodroff,Corwest Builders,Blue Green Architecture,Dane Lewis,,Marc Genereux,Arden Knoll,4500,0,,0,28000,,0,3600,10800,8900,,4500,0,,0,28000,,0,3600,10800,8900,,0,0,0,0,400,0,"Trade Off $3,000",FALSE,0,FALSE
17178,Marquess of Lorne,604 Lorne Street,,Kamloops BC,Tri-AMM Developments Corporation,Marlene Anderson,Tri-AMM Developments Corporation,JM Architecture Inc.,Joe Minten,,Marc Genereux,Arden Knoll,3400,0,,0,23400,,0,1200,6400,8900,,3400,0,,0,23400,,0,1200,6400,8900,,0,0,0,0,650,0,"Trade Off $2,400 ECB $",FALSE,0,FALSE
17180,"Woods, The",467 Royal Bay Drive,,Colwood BC,Nordel Homes (1051906 BC Ltd.),Raj Toor,Nordel Homes (1051906 BC Ltd.),Integra Architecture Inc.,Alex Dela Cruz,,Don Hauser,Dwayne Arnold,2600,0,,1500,16200,,0,900,0,8900,,2600,0,,1500,16200,,0,900,0,8900,,0,0,2600,2600,450,0,,FALSE,0,FALSE
17183,Creston House TRU Site B,885 University Drive,,Kamloops BC,Cape Construction (2001) Ltd.,Kirk Yuen,Seth Holdings Ltd.,SUVA Architecture Inc.,John Saliken,,Brian MacLellan,Arden Knoll,2400,0,,1500,22500,,0,1800,6000,8900,,2400,0,,1500,22500,,0,1800,6000,8900,,0,0,2750,2750,750,0,"Trade Off $1,800",FALSE,0,FALSE
17185,Hudson's Bay Landing - Ph 1 STOP ORDER JUL 10.18,945-955 Victoria Street West,,Kamloops BC,,,,Blue Green Architecture,Wendy Rempel,,Marc Genereux,,3600,0,,1500,22500,,0,900,0,8900,,3600,0,,1500,22500,,0,900,0,8900,,0,0,2750,2750,750,0,"Trade Off $2,200",FALSE,0,FALSE
17186,Proposed Residential - 24 East,24 East 12th Avenue,,Vancouver BC,Mainstreet Town Homes Ltd.,Murray Braaten,,Ankenman Marchand Architects,Rachael Mason,,Dane Peterson,Todd McDonald,1800,0,,0,4500,,0,900,1800,8900,,1800,0,,0,4500,,0,900,1800,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
17187,Proposed Residential - 30 East,30 East 12th Avenue,,Vancouver BC,Mainstreet Town Homes Ltd.,Murray Braaten,Mainstreet Town Homes Ltd.,Ankenman Marchand Architects,Rachael Mason,,Dane Peterson,Todd McDonald,1800,0,,0,4500,,0,900,1800,8900,,1800,0,,0,4500,,0,900,1800,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
17190,Northview Estate,10311 River Road,,Richmond BC,Western International Construction Ltd.,Mike Cooper,Western International Construction Ltd.,Fougere Architecture Inc.,Wayne Fougere,,Don Hauser,Todd McDonald,3800,0,,1500,19500,,0,6300,6000,8900,,3800,0,,1500,19500,,0,6300,6000,8900,,0,0,2000,2000,300,0,"Trade Off $1,800 ECB $5,000",FALSE,0,FALSE
17191,Commercial Development - Kingsway,3399 Kingsway,,Vancouver BC,Killarney Enterprises Ltd.,Neil Sidhu,Killarney Enterprises Ltd.,PJ Lovick Architects,Peter Lovick,,Dane Peterson,Todd McDonald,1800,0,,0,3600,,0,0,1200,8900,,1800,0,,0,3600,,0,0,1200,8900,,0,0,0,0,300,0,"Trade Off $1,500 ECB $5,000",FALSE,0,FALSE
17192,Livia,6331 No. 4 Rd,,Richmond BC,,,,,,,,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
17196,Little Mountain Cohousing Project Passive House,4985-5007 Quebec Street,,Vancouver BC,1011 Ventures Inc.,Cohousing Development Consulting,1011 Ventures Inc.,Cornerstone Architecture,Simon Richards,,Dane Peterson,Todd McDonald,3500,0,,0,10500,,0,900,2400,8900,,3500,0,,0,10500,,0,900,2400,8900,,0,0,0,0,300,0,"Trade Off $1,800 ECB $2,500",FALSE,0,FALSE
17199,"Riverbend Business Park, Bldgs. 2 & 4, Roofing Inspections",8360 Wiggins Street & Riverbend Drive,,Burnaby BC,Christopher Bozyk Architects Inc.,,Christopher Bozyk Architects Inc.,Christopher Bozyk Architects Inc.,Keiran Walsh,,,Todd McDonald,0,0,,0,0,,0,0,3500,8900,,0,0,,0,0,,0,0,3500,8900,,0,0,0,0,350,0,,FALSE,0,FALSE
17202,Richmond Winery,15380 Westminster Highway,,Richmond BC,,,,CEI Architecture,Devon Holdsworth,,Grant DeBoer,Todd McDonald,2800,0,,0,4500,,0,1800,1800,8900,,2800,0,,0,4500,,0,1800,1800,8900,,0,0,0,0,300,0,"Trade Off $1,800",FALSE,0,FALSE
17203,CREST,108-128 East 8th Street,,North Vancouver (City) BC,Adera,Joel Anderson,Adera,Integra Architecture Inc.,Debbie Gonzales,,Mike Mountain,Todd McDonald,4800,0,,0,22500,,0,3600,6000,8900,,4800,0,,0,22500,,0,3600,6000,8900,,0,0,0,0,300,0,"Trade Off: $2,200.  ECB:  $15,000",FALSE,0,FALSE
17204,WHA Passive House,1020 Legacy Way,,Whistler BC,Whistler Housing Authority,Marla Zucht,Whistler Housing Authority,Integra Architecture Inc.,Duane Siegrist,,Mike Mountain,Todd McDonald,5800,0,,0,13500,,0,900,3000,8900,,5800,0,,0,13500,,0,900,3000,8900,,0,0,0,0,750,0,,FALSE,0,FALSE
17207,Nova,8148-8158 166 Street,,Surrey BC,Mortise Group Of Companies,Arvin Brar,Mortise Group Of Companies,WG Architecture Inc.,Joe Nae-jer Hwang,,Scott Stebbings,Brent Rowland,2400,0,,1500,22500,,0,2700,6600,8900,,2400,0,,1500,22500,,0,2700,6600,8900,,0,0,1800,2000,300,0,,FALSE,0,FALSE
17210,Yalestone,2740 Fuller Street,,Abbotsford BC,Vanmar Constructors Inc.,Cody Voorhorst,Vanmar Constructors Inc.,Station One Architects,Justin Dyck,,Don Hauser,Brent Rowland,3600,0,,1500,9000,,0,1800,1800,8900,,3600,0,,1500,9000,,0,1800,1800,8900,,0,0,2200,2200,300,0,"Trade Off: $2,200.  ECB: $9,000",FALSE,0,TRUE
17213,Little Mountain Presentation Centre,8 East 33 Avenue,,Vancouver BC,Holborn Elevating Lifestyles,Philip Jiang,Holborn Elevating Lifestyles,B & H Architects Inc.,Bruce Knapp,,Dane Peterson,Todd McDonald,2000,0,,0,3000,,0,900,1800,8900,,2000,0,,0,3000,,0,900,1800,8900,,0,0,0,0,300,0,"Trade off: $1,200",FALSE,0,FALSE
17214,Riviera,4960 Bennett Street,,Burnaby BC,Ledingham McAllister,Jeremy Golden,Ledingham McAllister,IBI Group Architects (Canada) Ltd.,Jeff Mok,,Grant DeBoer,Todd McDonald,5000,0,,2500,15000,,0,1800,4500,8900,,5000,0,,2500,15000,,0,1800,4500,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
17215,PG Downtown - 5 separate PO's work must be identified,1079-1087 6th Avenue,,Prince George BC,A & T  Developments (Mark Tommasini),Lindsay Strobbe,A & T  Developments (Mark Tommasini),RLA Architects Inc.,Greg Voute,,Marc Genereux,,12200,0,,1500,115500,,0,7200,0,8900,,12200,0,,1500,115500,,0,7200,0,8900,,0,0,4200,4200,1650,0,"Trade Off $1,860",FALSE,0,FALSE
17216,Kikekyelc,975 Singh Street,,Kamloops BC,M'akola Development Services,Teunesha Evertse,Richard Hunter Architect Inc.,Richard Hunter Architect Inc.,Richard Hunter,,Marc Genereux,,3000,0,,0,9100,,0,1200,2600,8900,,3000,0,,0,9100,,0,1200,2600,8900,,0,0,0,0,650,0,,FALSE,0,FALSE
17217,Hindu Temple,8100 No 5 Road,,Richmond BC,AMT- Hindu Society BC,Manick Senthivel,AMT- Hindu Society BC,PMG Landscape Architects,,,Grant DeBoer,Todd McDonald,3600,0,,0,7500,,0,900,4500,8900,,3600,0,,0,7500,,0,900,4500,8900,,0,0,0,0,300,0,"Trade off: $2,400 ECB: $10,000",FALSE,0,FALSE
17219,Acorn - 2666 Duke Street,2666-2672 Duke Street,,Vancouver BC,Citrine Homes,John Zhao,Citrine Duke Place Homes LP,Matthew Cheng Architects Inc.,Bahar Khonsari,,Mike Mountain,Todd McDonald,2800,0,,1500,12000,,0,900,3000,8900,,2800,0,,1500,12000,,0,900,3000,8900,,0,0,2000,2000,300,0,"Trade Off $2,200 ECB $10,000",FALSE,0,FALSE
17223,Pivot Projects Ltd.,1550 Oxford Street,,North Vancouver District BC,Adera,Hans Fast,Adera,RLA Architects Inc.,Paul Sanchez,,Mike Mountain,Todd McDonald,2400,0,,0,13500,,0,900,3000,8900,,2400,0,,0,13500,,0,900,3000,8900,,0,0,0,0,300,0,"Trade Off: $1,800.  ECB:  $7,500",FALSE,0,FALSE
17225,Bryton Court,7780 Bridge Street,,Richmond BC,Jacken Investments Inc.,Jackson Lee,Jacken Investments Inc.,Yamamoto Architecture Inc.,Karen Ma,,Don Hauser,Todd McDonald,2400,0,,1500,9000,,0,900,1800,8900,,2400,0,,1500,9000,,0,900,1800,8900,,0,0,2000,2000,300,0,,FALSE,0,FALSE
17226,Seymour Village - Phase 3,3595 Salal Drive,,North Vancouver District BC,Aquilini Group,Simon Bodlack,Aquilini Group,CEI Architecture,Jim Alders,,Mike Mountain,Todd McDonald,2800,0,,1500,18000,,0,2700,4200,8900,,2800,0,,1500,18000,,0,2700,4200,8900,,0,0,2000,2000,300,0,,FALSE,0,FALSE
17227,Multi-Purpose Development - Marine Drive,1327 Marine Drive,,West Vancouver BC,,,,Karl Gustavson - Architect,Karl Gustavson,,Mike Mountain,Todd McDonald,2800,0,,1500,10800,,0,900,3600,8900,,2800,0,,1500,10800,,0,900,3600,8900,,0,0,2200,2200,300,0,"Trade Off $2,600",FALSE,0,FALSE
17230,Energy Code Compliance - 2 Storey Mixed-Use Commercial Building,5790 King George Boulevard,,Surrey BC,0740156 BC Ltd.,Sukhi Sanghe,0740156 BC Ltd.,Angle Construction Co. Inc., ,,,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,0,0,"Trade Off $1,800 ECB $6,500",FALSE,0,FALSE
17232,Belmont,284 Belmont Road,,Colwood BC,Sargent Construction,Lyall Sargent,Sargent Construction,,,,Don Hauser,Dwayne Arnold,2400,0,,0,10800,,0,900,3600,8900,,2400,0,,0,10800,,0,900,3600,8900,,0,0,0,0,450,0,"Trade Off $1,800 ECB $7,500",FALSE,0,FALSE
17234,"Lodge on Willow, The",809 West 23rd,,Vancouver BC,The Lodge on Willow Ltd.,Paul Phillips,The Lodge on Willow Ltd.,Pacific West Architecture,Patrick Yang,,Mike Mountain,Todd McDonald,2400,0,,0,4800,,0,900,2400,8900,,2400,0,,0,4800,,0,900,2400,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
17236,"Winona, The",7638 Cambie Street,,Vancouver BC,0865274 BC Ltd.,Mukhan Rai,0865274 BC Ltd.,GBL Architects Inc.,Dara Preston,,Dane Peterson,Todd McDonald,3500,0,,0,18000,,0,1800,4500,8900,,3500,0,,0,18000,,0,1800,4500,8900,,0,0,0,0,300,0,"Trade Off $2,400",FALSE,0,FALSE
17237,Warehouse - Twigg Place,11111 Twigg Place,,Richmond BC,Ventana Constuction Corporation,Ryan Williamson,Ventana Constuction Corporation,Christopher Bozyk Architects Inc.,Chris Bozyk,,,Todd McDonald,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,450,0,,FALSE,0,FALSE
17238,Benchmark Homes,39289 Blue Jay Way,,Squamish BC,Benchmark Estates (2009) Ltd.,Murray Leiding,Benchmark Estates (2009) Ltd.,,,,Mike Mountain,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
17239,Driftwood Village Cohousing,2137 Chesterfield Avenue,,North Vancouver (City) BC,Cohousing Development Consulting,Ronaye Matthew,Cohousing Development Consulting,Cornerstone Architecture,Simon Richards,,Mike Mountain,Todd McDonald,4500,0,,0,16500,,0,1800,5400,8900,,4500,0,,0,16500,,0,1800,5400,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
17240,Yorkson,7665 209th Street,,Langley BC,,,,,,,,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
17241,Jumar,38362 Buckley Avenue,,Squamish BC,LT Wave Holdings Limited,Cheryl Fu,LT Wave Holdings Limited,GBL Architects Inc.,James Lam,,Mike Mountain,Todd McDonald,4200,0,,0,22500,,0,3600,9000,8900,,4200,0,,0,22500,,0,3600,9000,8900,,0,0,0,0,450,0,"Trade off: $2,200",FALSE,0,FALSE
17243,Little Mountain Building AB,167 East 36th Avenue,,Vancouver BC,Holborn Elevating Lifestyles,Derek Voon,Holborn Elevating Lifestyles,Arcadis Architects (Canada) Inc.,Sawra Dar Santos,,Dane Peterson,Todd McDonald,3400,0,,0,9000,,0,1800,2400,8900,,3400,0,,0,9000,,0,1800,2400,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
17244,Chelsea Marine,75-95 SW Marine Drive,,Vancouver BC,Vanmar Constructors Inc.,Jeff Marin,Vanmar Constructors Inc.,GBL Architects Inc.,Dominic Mahony,,Mike Mountain,Todd McDonald,2600,0,,1500,15000,,0,7200,5400,8900,,2600,0,,1500,15000,,0,7200,5400,8900,,0,0,3000,3000,300,0,"Trade Off $2,600",FALSE,0,TRUE
17249,Fast & Epp Office Building,397 West 7th Ave,,Vancouver BC,Fast + Epp,Justin Vaughan,Fast + Epp,F2A Architecture Ltd.,Austin Hawkins,,Dane Peterson,Todd McDonald,2400,0,,0,3000,,0,900,1800,8900,,2400,0,,0,3000,,0,900,1800,8900,,0,0,0,0,300,1800,Trade Off,FALSE,0,FALSE
17250,Arora Court,20081 68th Avenue,,Langley BC,1136746 B.C. Ltd.,Nina Aurora,1136746 B.C. Ltd.,Barnett Dembek Architects Inc. (BDA),Trevor Dickson,,Don Hauser,Brent Rowland,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
17251,Portside,488 Furness Street,,New Westminster BC,Anthem MTN Village Two Developments LP,Ryan Vanderham,Anthem MTN Village Two Developments LP,BHA Architecture Inc.,Sascha Gilpin,,Grant DeBoer,Todd McDonald,2800,0,,0,32300,,0,5400,12000,8900,,2800,0,,0,32300,,0,5400,12000,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
17252,Klos Residence,4144 Allan Road,,Shuswap BC,Horizon North Logistics Inc.,Lori Michaud,Horizon North Logistics Inc.,Karoleena,,,Brian MacLellan,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
17254,Trellis,720 Valley Road Lot E,,Kelowna BC,kane #2 Resources Ltd.,Bal Poonian,kane #2 Resources Ltd.,David Tyrell Architecture,David Tyrell,,Marc Genereux,Arden Knoll,7500,0,,0,20000,,0,2700,5600,8900,,7500,0,,0,20000,,0,2700,5600,8900,,0,0,0,0,400,0,,FALSE,0,FALSE
17256,Holland Row,1946-1998 Glenaire Drive,,North Vancouver (City) BC,2596-2660 E 41st Ave Limited Partnership,Shawn Oh,2596-2660 E 41st Ave Limited Partnership,Grimwood Architecture +,Thomas Grimwood,,Mike Mountain,Todd McDonald,3200,0,,1500,10500,,0,900,3000,8900,,3200,0,,1500,10500,,0,900,3000,8900,,0,0,2000,2000,300,0,,FALSE,0,FALSE
18000,FY 2018,,,#N/A,,#N/A,,,#N/A,,#N/A,,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,,FALSE,0,FALSE
18003,Providence Boulevard,165 Celano Crescent,,Kelowna BC,Vanmar Constructors Inc.,Jeff Marin,Vanmar Constructors Inc.,RLA Architects Inc.,,,Brian MacLellan,Arden Knoll,2200,0,,0,12000,,0,1800,3600,8900,,2200,0,,0,12000,,0,1800,3600,8900,,0,0,0,0,400,0,IPR (Roof) - $450 for roof inspection fee,FALSE,0,FALSE
18004,Barclay,1150 Barclay Street,,Vancouver BC,2596-2660 E 41st Ave Limited Partnership,Robert Cadez,2596-2660 E 41st Ave Limited Partnership,Dialog Design,Evan Dysart,,Mike Mountain,Todd McDonald,3200,0,,1500,14400,,0,900,4000,8900,,3200,0,,1500,14400,,0,900,4000,8900,,0,0,3800,3800,400,0,"Trade Off $2,600 ECB",FALSE,0,FALSE
18006,Seymour Village - Phase 2,3595 Salal Drive,,North Vancouver (City) BC,Aquilini Development & Construction Inc.,Nader Malekyazdi,Aquilini Development & Construction Inc.,CEI Architecture,,,Mike Mountain,Todd McDonald,2400,0,,1500,15000,,0,1800,3600,8900,,2400,0,,1500,15000,,0,1800,3600,8900,,0,0,2000,2000,300,0,,FALSE,0,FALSE
18008,Minoru Towers,5740-5760 Minoru Boulevard,,Richmond BC,Thind Properties Ltd.,Dave Westley,Thind Properties Ltd.,IBI Group (Vancouver),Pascal Jean-Mairet,,Grant DeBoer,Todd McDonald,10000,0,,0,40000,,0,7200,12000,8900,,10000,0,,0,40000,,0,7200,12000,8900,,0,0,0,0,400,0,,FALSE,0,FALSE
18011,192 Furniture Warehouse - Roofing Only,19225 25 Avenue,,Surrey BC,Blackstone Development,Ed Desrochers,Blackstone Development,Chip Barrett Architect,Chip Barrett,,,Brent Rowland,0,0,,0,0,,0,0,600,8900,,0,0,,0,0,,0,0,600,8900,,0,0,0,0,600,0,,FALSE,0,FALSE
18012,1600 Eastern,143 East 17th Street,,North Vancouver (City) BC,Anthem MTN Village Two Developments LP,Ryan Vanderham,Anthem MTN Village Two Developments LP,DYS Architecture Inc.,Darcy Imada,,Mike Mountain,Todd McDonald,5000,0,,0,20000,,0,3600,4800,8900,,5000,0,,0,20000,,0,3600,4800,8900,,0,0,0,0,400,0,,FALSE,0,FALSE
18014,Warehouse - Twigg Place,11111 Twigg Place,,Richmond BC,Ventana Constuction Corporation,Ryan Williamson,Ventana Constuction Corporation,Christopher Bozyk Architects Inc.,Chris Bozyk,,,Todd McDonald,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,450,0,,FALSE,0,FALSE
18015,Chen Residence,677 English Bluff Road,,Delta BC,,,,Lamoureux Architect Incorporated,Brad Lamoureux,,Don Hauser,Todd McDonald,2400,0,,0,4800,,0,900,2400,8900,,2400,0,,0,4800,,0,900,2400,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
18017,"Dale, The Phase 1, 2 & 3",3719 Woodsdale Road,,Lake Country BC,The Woodsdale GP Ltd.,Ryan Redekopp,The Woodsdale GP Ltd.,Faction Projects Inc.,Neil Bolton,,Marc Genereux,Arden Knoll,2400,0,,0,18000,,0,1800,6000,8900,,2400,0,,0,18000,,0,1800,6000,8900,,0,0,0,0,450,0,,FALSE,0,FALSE
18018,Eyco Building Group,,,,,,,,,,,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
18021,Penticton Non-Market Housing,259 Backstreet Boulevard,,Penticton BC,Ellis Don,Craig Enns,Ellis Don,DYS Architecture Inc.,,,Brian MacLellan,Arden Knoll,3400,0,,0,13500,,0,1800,4500,8900,,3400,0,,0,13500,,0,1800,4500,8900,,0,0,0,0,450,0,,FALSE,0,FALSE
18025,SFEC Re-Location-TP3-Base Building,4820 Miller Road,,Richmond BC,Vancouver International Airport Authority,,Vancouver International Airport Authority,Studio One Architecture Inc.,Shoghig Tutunjian,,Grant DeBoer,Todd McDonald,1800,0,,0,3600,,0,900,1200,8900,,1800,0,,0,3600,,0,900,1200,8900,,0,0,0,0,300,0,,FALSE,0,TRUE
